rank   director                              actor                            films_together  total_films
1269   Suresh Krishna                        Brahmanandam                     6               29         
1270   Marshall Neilan                       Wesley Barry                     6               29         
1271   Juan José Ortega                      Joaquín Cordero                  6               29         
1272   Mario Soffici                         Ángel Magaña                     6               29         
1273   Sacha Guitry                          Robert Seller                    6               29         
1274   Alberto De Martino                    Guido Lollobrigida               6               28         
1275   Luis María Delgado                    Alfredo Landa                    6               28         
1276   Leslie S. Hiscott                     Ian Fleming                      6               28         
1277   Fred C. Newmeyer                      Harold Lloyd                     6               28         
1278   Bharathiraja                          Janakaraj                        6               28         
1279   Ákos Ráthonyi                         Gerö Mály                        6               28         
1280   Juan Bosch                            Gaspar 'Indio' González          6               27         
1281   Maryo J. de los Reyes                 Anton Bernardo                   6               27         
1282   Nader Galal                           Adel Emam                        6               27         
1283   Jaime Humberto Hermosillo             Manuel Ojeda                     6               27         
1284   Mrinal Sen                            Shekhar Chatterjee               6               27         
1285   Kôzaburô Yoshimura                    Eiji Funakoshi                   6               27         
1286   Kaushik Ganguly                       Arun Guhatharkurta               6               27         
1287   Péter Bacsó                           Ferenc Kállai                    6               26         
1288   Basu Chatterjee                       Utpal Dutt                       6               26         
1289   William Clemens                       John Litel                       6               26         
1290   Chuck Vincent                         Harvey Siegel                    6               26         
1291   Iosif Kheifits                        Aleksey Batalov                  6               26         
1292   Dante Lam                             Nick Cheung                      6               26         
1293   Károly Makk                           Iván Darvas                      6               26         
1294   Martin Ritt                           Paul Newman                      6               26         
1295   Rudolf Thome                          Marquard Bohm                    6               26         
1296   Gajendra Vitthal Ahire                Kishore Kadam                    6               26         
1297   André Téchiné                         Jacques Nolot                    6               25         
1298   Kim Ki-duk                            Cho Jae-hyun                     6               25         
1299   Sigurd Wallén                         Carl-Gunnar Wingård              6               25         
1300   Paul Schrader                         Willem Dafoe                     6               24         
1301   Fazil                                 Mammootty                        6               24         
1302   Juraj Herz                            Andrej Hryc                      6               24         
1303   Václav Krska                          Eduard Cupák                     6               24         
1304   Tapan Sinha                           Bhanu Bannerjee                  6               24         
1305   Damian Chapa                          Ricco Chapa                      6               24         
1306   Fernando Fernán Gómez                 Manuel Alexandre                 6               24         
1307   Russ Meyer                            Frank Bolger                     6               23         
1308   Ishmael Bernal                        Christopher De Leon              6               23         
1309   J. Gordon Edwards                     William Farnum                   6               23         
1310   George King                           Tod Slaughter                    6               23         
1311   Michele Lupo                          Giuliano Gemma                   6               23         
1312   Ernst Marischka                       Adrian Hoven                     6               23         
1313   Toto Natividad                        Cesar Montano                    6               23         
1314   John Lyde                             James Gaisford                   6               23         
1315   James Cullen Bressack                 Jody Barton                      6               23         
1316   Samuel Fuller                         Paul Dubov                       6               22         
1317   Luis Alcoriza                         Pancho Córdova                   6               22         
1318   Arsevir Alyanak                       Arsevir Alyanak                  6               22         
1319   Raoul André                           Francis Blanche                  6               22         
1320   Vladimír Cech                         Josef Bek                        6               22         
1321   Giorgio Ferroni                       Nello Pazzafini                  6               22         
1322   Eloy de la Iglesia                    Simón Andreu                     6               22         
1323   Florián Rey                           Miguel Ligero                    6               22         
1324   Giuseppe Vari                         Maurice Poli                     6               22         
1325   Brett Kelly                           Jody Haucke                      6               22         
1326   Kenneth Branagh                       Richard Briers                   6               22         
1327   Arsevir Alyanak                       Kenan Pars                       6               22         
1328   Richard Donner                        Mel Gibson                       6               21         
1329   Walter Boos                           Josef Moosholzer                 6               21         
1330   Zoltán Fábri                          Béla Barsi                       6               21         
1331   Tancred Ibsen                         Joachim Holst-Jensen             6               21         
1332   Lloyd Kaufman                         Lloyd Kaufman                    6               21         
1333   Denys de La Patellière                Jean Gabin                       6               21         
1334   David Lam                             Simon Yam                        6               21         
1335   Norman Lee                            Hal Gordon                       6               21         
1336   Roberto Santucci                      Charles Paraventi                6               21         
1337   Don Sharp                             Christopher Lee                  6               21         
1338   Robert Vernay                         Alexandre Rignault               6               21         
1339   John Landis                           Dan Aykroyd                      6               20         
1340   Detlev Buck                           Detlev Buck                      6               20         
1341   Kang Cheng                            Miao Ching                       6               20         
1342   Miguel Contreras Torres               Edmundo Espino                   6               20         
1343   Donald Farmer                         Danny Fendley                    6               20         
1344   Christian González                    Guillermo Quintanilla            6               20         
1345   Ebrahim Hatamikia                     Asghar Naghizadeh                6               20         
1346   Burt Kennedy                          Jack Elam                        6               20         
1347   Ricky Lau                             Billy Lau                        6               20         
1348   Pascal Thomas                         Daniel Ceccaldi                  6               20         
1349   Giovanni Veronesi                     Sergio Rubini                    6               20         
1350   Safa Önal                             Atilla Ergün                     6               20         
1351   Neil Jordan                           Stephen Rea                      6               19         
1352   José Luis Garci                       Alfredo Landa                    6               19         
1353   Kang Woo-suk                          Ahn Sung-ki                      6               19         
1354   Ravikant Nagaich                      Prem Chopra                      6               19         
1355   L.V. Prasad                           N.T. Rama Rao                    6               19         
1356   Joaquín Luis Romero Marchent          Robert Hundar                    6               19         
1357   Mark Sandrich                         Fred Astaire                     6               19         
1358   Sabu                                  Ren Ôsugi                        6               19         
1359   Sergei Yutkevich                      Boris Tenin                      6               19         
1360   Wael Ihsan                            Suliman Eid                      6               19         
1361   Raja Chanda                           Soham Chakraborty                6               19         
1362   Alexandre Arcady                      Richard Berry                    6               18         
1363   Ali Abdel-Khalek                      Nour El-Sherif                   6               18         
1364   Shinji Aoyama                         Ken Mitsuishi                    6               18         
1365   Aydin Arakon                          Orhan Günsiray                   6               18         
1366   Nando Cicero                          Nino Terzo                       6               18         
1367   Willi Forst                           Hans Moser                       6               18         
1368   Gulzar                                Om Shivpuri                      6               18         
1369   Jan Jakub Kolski                      Franciszek Pieczka               6               18         
1370   Tôru Murakawa                         Yûsaku Matsuda                   6               18         
1371   Siddique                              Mukesh                           6               18         
1372   Manuel Summers                        Curro Martín Summers             6               18         
1373   István Szabó                          Péter Andorai                    6               18         
1374   Shirô Toyoda                          Hisaya Morishige                 6               18         
1375   Fernando Trueba                       Antonio Resines                  6               18         
1376   Frans Weisz                           Pierre Bokma                     6               18         
1377   Kuldeep Singh                         Sardar Sohi                      6               18         
1378   Martin Hollý                          Stefan Kvietik                   6               18         
1379   Yilmaz Güney                          Nizam Ergüden                    6               18         
1380   J. Christian Ingvordsen               Rick Washburn                    6               18         
1381   Joaquín Pardavé                       Fernando Fernández               6               18         
1382   Joe Dante                             Dick Miller                      6               17         
1383   Andy Bausch                           Thierry van Werveke              6               17         
1384   Satyen Bose                           Ashok Kumar                      6               17         
1385   Chi-Hwa Chen                          Kang Ho                          6               17         
1386   Wai-Man Cheng                         Simon Lui                        6               17         
1387   Mircea Daneliuc                       Mircea Daneliuc                  6               17         
1388   William C. de Mille                   Charles Ogle                     6               17         
1389   Pedro Galindo III                     Mario Almada                     6               17         
1390   Gakuryû Ishii                         Kiyohiko Shibukawa               6               17         
1391   Andreas Katsimitsoulias               Lavrentis Dianellos              6               17         
1392   Frank Launder                         George Cole                      6               17         
1393   Kurt Maetzig                          Günther Simon                    6               17         
1394   Nicolae Margineanu                    Remus Margineanu                 6               17         
1395   Robert Morin                          Robert Morin                     6               17         
1396   Grigoriy Roshal                       Vladimir Balashov                6               17         
1397   A.W. Sandberg                         Peter Malberg                    6               17         
1398   Karen Shakhnazarov                    Armen Dzhigarkhanyan             6               17         
1399   Tomotaka Tasaka                       Minoru Chiaki                    6               17         
1400   Jan Troell                            Max von Sydow                    6               17         
1401   S. Narayan                            Mukhyamantri Chandru             6               17         
1402   Mehmet Bozkus                         Nubar Terziyan                   6               17         
1403   Mohd Pierre Andre                     Mikail Andre                     6               17         
1404   Azhari Mohd Zain                      Zul Suphian                      6               17         
1405   Dada Kondke                           Bhalchandra Kulkarni             6               17         
1406   Henrique Couto                        Geoff Burkman                    6               17         
1407   David Lean                            Alec Guinness                    6               16         
1408   Rex Ingram                            Edward Connelly                  6               16         
1409   Jirí Svoboda                          Radoslav Brzobohatý              6               16         
1410   Paul Mazursky                         Paul Mazursky                    6               16         
1411   Dmitriy Astrakhan                     Vladimir Kabalin                 6               16         
1412   Anees Bazmee                          Anil Kapoor                      6               16         
1413   Indra Kumar                           Riteish Deshmukh                 6               16         
1414   Maurizio Lucidi                       Luigi Casellato                  6               16         
1415   Dmitriy Meskhiev                      Yuriy Kuznetsov                  6               16         
1416   Ilias Mylonakos                       Antonis Liotsis                  6               16         
1417   György Palásthy                       László Csákányi                  6               16         
1418   Nikos Panayotopoulos                  Lefteris Voyatzis                6               16         
1419   Nikos Tsiforos                        Nikos Rizos                      6               16         
1420   Gheorghe Vitanidis                    Iurie Darie                      6               16         
1421   Charles Marquis Warren                John Pickard                     6               16         
1422   Ranjith                               Mammootty                        6               16         
1423   Emir Skalonja                         Jacob Hodgson                    6               16         
1424   Jason Impey                           Wade Radford                     6               16         
1425   Gabriel Retes                         Ignacio Retes                    6               16         
1426   Afdlin Shauki                         Hans Isaac                       6               16         
1427   Ryan Balas                            Richard Buonagurio               6               16         
1428   Peter Jackson                         Ian McKellen                     6               15         
1429   Mehboob Khan                          Murad                            6               15         
1430   Timur Bekmambetov                     Konstantin Khabensky             6               15         
1431   Henrique Campos                       Alves da Costa                   6               15         
1432   Assi Dayan                            Moshe Ish-Kassit                 6               15         
1433   Christophe Honoré                     Louis Garrel                     6               15         
1434   Enrico Oldoini                        Massimo Boldi                    6               15         
1435   Michele Placido                       Michele Placido                  6               15         
1436   Juan Antonio de la Riva               Ignacio Guadalupe                6               15         
1437   Jaroslav Soukup                       Ladislav Potmesil                6               15         
1438   Rangel Vulchanov                      Georgi Kaloyanchev               6               15         
1439   Onur Ünlü                             Serkan Keskin                    6               15         
1440   Kazuya Shiraishi                      Takuma Otoo                      6               15         
1441   Steven de Jong                        Rense Westra                     6               15         
1442   Osman Ali                             Remy Ishak                       6               14         
1443   Keita Amemiya                         Yukijirô Hotaru                  6               14         
1444   Mikheil Chiaureli                     Mikheil Gelovani                 6               14         
1445   Arnaud Desplechin                     Mathieu Amalric                  6               14         
1446   Yusof Haslam                          Awie                             6               14         
1447   Vojtech Jasný                         Vlastimil Brodský                6               14         
1448   Jia Zhang-ke                          Hongwei Wang                     6               14         
1449   Kalpataru                             Kader Khan                       6               14         
1450   Raj Kanwar                            Shakti Kapoor                    6               14         
1451   Vladimir Khotinenko                   Ivan Agafonov                    6               14         
1452   Cédric Klapisch                       Romain Duris                     6               14         
1453   Nagesh Kukunoor                       Nagesh Kukunoor                  6               14         
1454   Franz Osten                           Ashok Kumar                      6               14         
1455   Ramón Pereda                          Ramón Pereda                     6               14         
1456   Milos 'Misa' Radivojevic              Aleksandar Bercek                6               14         
1457   Bimal Roy                             Nasir Hussain                    6               14         
1458   Augusto Salvador                      Dick Israel                      6               14         
1459   Thulasidas                            Jagathy Sreekumar                6               14         
1460   Vamsy                                 Mallikharjunarao                 6               14         
1461   Thomas J. Churchill                   Michael Cervantes                6               14         
1462   Prabhat Roy                           Biplab Chatterjee                6               14         
1463   Joselito Altarejos                    Oliver Aquino                    6               14         
1464   Keishi Otomo                          Takeru Satoh                     6               14         
1465   Om Prakash Rao                        Sadhu Kokila                     6               14         
1466   James Ian Mair                        C.A. McGregor                    6               14         
1467   Lars von Trier                        Jean-Marc Barr                   6               13         
1468   Robert Downey Sr.                     Lawrence Wolf                    6               13         
1469   Aleksey Balabanov                     Viktor Sukhorukov                6               13         
1470   Giulio Base                           Giulio Base                      6               13         
1471   Brij                                  Ashok Kumar                      6               13         
1472   John W. Brunius                       Gösta Ekman                      6               13         
1473   Jang Jin                              Shin Ha-kyun                     6               13         
1474   Julio Coll                            Arturo Fernández                 6               13         
1475   Muhsin Ertugrul                       Behzat Haki Butak                6               13         
1476   Richard Friedman                      Vince Lozano                     6               13         
1477   Sanjay Gupta                          Sanjay Dutt                      6               13         
1478   Robert Hartford-Davis                 David Lodge                      6               13         
1479   Richard Hobert                        Göran Stangertz                  6               13         
1480   Grigoriy Kozintsev                    Yuriy Tolubeev                   6               13         
1481   Oscar Micheaux                        Carman Newsome                   6               13         
1482   V. Madhusudan Rao                     Akkineni Nageswara Rao           6               13         
1483   Bhandit Rittakol                      Somkiat Kunanitipong             6               13         
1484   Luigi Scattini                        Giacomo Rossi Stuart             6               13         
1485   Daryush Shokof                        Daryush Shokof                   6               13         
1486   Vittorio Sindoni                      Walter Chiari                    6               13         
1487   Babbar Subhash                        Mithun Chakraborty               6               13         
1488   Robert Emmett Tansey                  Gene Alsace                      6               13         
1489   S.S. Vasan                            Agha                             6               13         
1490   Bo Widerberg                          Thommy Berggren                  6               13         
1491   Tony Zarindast                        Tony Zarindast                   6               13         
1492   José Eduardo Belmonte                 Milhem Cortaz                    6               13         
1493   Mohit Suri                            Emraan Hashmi                    6               13         
1494   Navaniat Singh                        Jimmy Shergill                   6               13         
1495   Adrian Teh                            Hairul Azreen                    6               13         
1496   Len Kabasinski                        Brian Anthony                    6               13         
1497   John Waters                           Divine                           6               12         
1498   Hal Hartley                           Martin Donovan                   6               12         
1499   Olivier Baroux                        Kad Merad                        6               12         
1500   Lekhraj Bhakri                        Manoj Kumar                      6               12         
1501   Vijay K. Bhaskar                      Brahmanandam                     6               12         
1502   Elisabeta Bostan                      George Mihaita                   6               12         
1503   Tigmanshu Dhulia                      Jimmy Shergill                   6               12         
1504   Roberto Farias                        Reginaldo Faria                  6               12         
1505   B.R. Ishara                           Asit Kumar Sen                   6               12         
1506   José Joffily                          Roberto Bomtempo                 6               12         
1507   Eldar Kuliyev                         Hasanagha Turabov                6               12         
1508   Leopold Lindtberg                     Heinrich Gretler                 6               12         
1509   Emmanuel Mouret                       Emmanuel Mouret                  6               12         
1510   Charles B. Pierce                     Jimmy Clem                       6               12         
1511   Rick Sloane                           John Henry Richardson            6               12         
1512   Herbert Selpin                        Herbert Hübner                   6               12         
1513   Alex Ranarivelo                       Ali Afshar                       6               12         
1514   James Wan                             Patrick Wilson                   6               12         
1515   Yograj Bhat                           Anant Nag                        6               12         
1516   Brett William Mauser                  Sergio Cantu                     6               12         
1517   Pablo Larraín                         Alfredo Castro                   6               12         
1518   Shawn Welling                         Shawn Welling                    6               12         
1519   Pankaj Batra                          Binnu Dhillon                    6               12         
1520   Sean Donohue                          Bob Glazier                      6               12         
1521   Sergey Bondarchuk                     Vyacheslav Tikhonov              6               12         
1522   Jimmy Wang Yu                         Fei Lung                         6               12         
1523   Lawrence Kasdan                       Kevin Kline                      6               11         
1524   Sebastián Alarcón                     Sergey Gazarov                   6               11         
1525   Adolfo Aristarain                     Federico Luppi                   6               11         
1526   Hugo Bolander                         Thor Modéen                      6               11         
1527   Sergio Citti                          Franco Citti                     6               11         
1528   Dinu Cocea                            Toma Caragiu                     6               11         
1529   Stijn Coninx                          Jan Decleir                      6               11         
1530   Bruno de Almeida                      John Ventimiglia                 6               11         
1531   Rodolfo de Anda                       Rodolfo de Anda                  6               11         
1532   Ashok Gaekwad                         Gulshan Grover                   6               11         
1533   Ugo Giorgetti                         Otávio Augusto                   6               11         
1534   Gunasekhar                            Prakash Raj                      6               11         
1535   Szabolcs Hajdu                        Domokos Szabó                    6               11         
1536   Jesse Hibbs                           Audie Murphy                     6               11         
1537   Alex Joffé                            Bourvil                          6               11         
1538   Teguh Karya                           Slamet Rahardjo                  6               11         
1539   Vatroslav Mimica                      Pavle Vuisic                     6               11         
1540   Luca Miniero                          Massimo De Lorenzo               6               11         
1541   Chris D. Nebe                         Louis Fantasia                   6               11         
1542   Christoph Schlingensief               Udo Kier                         6               11         
1543   Todd Sheets                           Antwoine Steele                  6               11         
1544   Yu Sun                                Jiqun Liu                        6               11         
1545   Guillermo del Toro                    Ron Perlman                      6               11         
1546   Apichatpong Weerasethakul             Sakda Kaewbuadee                 6               11         
1547   Jack Witikka                          Pentti Irjala                    6               11         
1548   Wen Yi                                Enjia Liu                        6               11         
1549   P. Madhavan                           Shivaji Ganesan                  6               11         
1550   Ismael Rodríguez Jr.                  Cuitlahuac Rodríguez             6               11         
1551   Dilip Mukherjee                       Uttam Kumar                      6               11         
1552   Seiji Chiba                           Kentarô Shimazu                  6               11         
1553   Hidenori Inoue                        Makoto Awane                     6               11         
1554   Saeed Soheili                         Jamshid Hashempur                6               11         
1555   Matthew A. Peters                     Ryan Santiago                    6               11         
1556   Simerjit Singh                        Karamjit Anmol                   6               11         
1557   Mandeep Benipal                       Dev Kharoud                      6               11         
1558   József Gallai                         József Gallai                    6               11         
1559   Stepan Burnashev                      Georgiy Bessonov                 6               11         
1560   Günther Brandl                        Helmut Brandl                    6               11         
1561   Raj Kapoor                            Raj Kapoor                       6               10         
1562   Wes Anderson                          Bill Murray                      6               10         
1563   Stanislaw Bareja                      Wieslaw Golas                    6               10         
1564   Mike Binder                           Mike Binder                      6               10         
1565   Don Coscarelli                        Reggie Bannister                 6               10         
1566   Arthur Duarte                         António Silva                    6               10         
1567   K.G. George                           Mammootty                        6               10         
1568   Leander Haußmann                      Detlev Buck                      6               10         
1569   John Hilbard                          Paul Hagen                       6               10         
1570   Svatopluk Innemann                    Jindrich Plachta                 6               10         
1571   Jûzô Itami                            Masahiko Tsugawa                 6               10         
1572   Lev Kuleshov                          Sergey Komarov                   6               10         
1573   Karl Maka                             Dean Shek                        6               10         
1574   Visa Mäkinen                          Matti Mäntylä                    6               10         
1575   Hal Needham                           Burt Reynolds                    6               10         
1576   Hiroshi Noguchi                       Jô Shishido                      6               10         
1577   Rasim Ojagov                          Fäxräddin Manafov                6               10         
1578   Kadiri Venkata Reddy                  Relangi Venkatramaiah            6               10         
1579   M.A. Thirumugham                      S.A. Ashokan                     6               10         
1580   Shilin Zhu                            Fong Pau                         6               10         
1581   Jovan Zivanovic                       Pavle Vuisic                     6               10         
1582   Frank Pérez-Garland                   Giovanni Ciccia                  6               10         
1583   Tomasz Konecki                        Tomasz Karolak                   6               10         
1584   Radha Mohan                           Prakash Raj                      6               10         
1585   Frank Perozo                          Miguel Céspedes                  6               10         
1586   Robert Conway                         Owen Conway                      6               10         
1587   B. Luciano Barsuglia                  Jed Rowen                        6               10         
1588   Amal Neerad                           Jinu Joseph                      6               10         
1589   Klim Shipenko                         Aleksandr Samoylenko             6               10         
1590   Robert Alaniz                         Gary Gow                         6               10         
1591   Alessandro Genovesi                   Fabio De Luigi                   6               10         
1592   Will Collazo Jr.                      Will Collazo Jr.                 6               10         
1593   Ansel Faraj                           Nathan Wilson                    6               10         
1594   Danny Lee                             Shing Fui-On                     6               10         
1595   Jefferson Moore                       Tom Luce                         6               10         
1596   George Clooney                        George Clooney                   6               9          
1597   Michel Audiard                        Jean Carmet                      6               9          
1598   Asbjørn Andersen                      Ib Schønberg                     6               9          
1599   Yûzô Asahara                          Rentarô Mikuni                   6               9          
1600   Robert Asher                          Norman Wisdom                    6               9          
1601   Yvan Attal                            Yvan Attal                       6               9          
1602   Claus Bjerre                          Jess Ingerslev                   6               9          
1603   Paul Bright                           Paul Bright                      6               9          
1604   Kent Cheng                            Kent Cheng                       6               9          
1605   William Rotsler                       James Brand                      6               9          
1606   Pereira Dias                          Teixeirinha                      6               9          
1607   William Girdler                       Charles Kissinger                6               9          
1608   Hyung-rae Shim                        Hyung-rae Shim                   6               9          
1609   Rajat Kapoor                          Ranvir Shorey                    6               9          
1610   Ulf Malmros                           Kjell Bergqvist                  6               9          
1611   Henrik Malyan                         Frunzik Mkrtchyan                6               9          
1612   Joachim Masannek                      Jimi Blue Ochsenknecht           6               9          
1613   Demetrius Navarro                     Demetrius Navarro                6               9          
1614   Suzanne Osten                         Etienne Glaser                   6               9          
1615   Ivane Perestiani                      Pavel Yesikovsky                 6               9          
1616   Naoto Takenaka                        Naoto Takenaka                   6               9          
1617   Hsin-Yen Chang                        Chunhua Ji                       6               9          
1618   Johny Antony                          Salim Kumar                      6               9          
1619   Saeed Hamed                           Mohamed Henedi                   6               9          
1620   Rahhat Shah Kazmi                     Tariq Khan                       6               9          
1621   Chad Archibald                        Ry Barrett                       6               9          
1622   David C. Snyder                       John Delserone                   6               9          
1623   Sudhakar Basanta                      Saroj Das                        6               9          
1624   Dustin Mills                          Brandon Salkil                   6               9          
1625   Michael Crum                          R. Steven Blake                  6               9          
1626   Krishnadev Yagnik                     Yash Soni                        6               9          
1627   Jaron Lockridge                       Keith Lamont Johnson             6               9          
1628   Frank D'Angelo                        Art Hindle                       6               9          
1629   Sami Ayanoglu                         Sami Ayanoglu                    6               8          
1630   T.S. Suresh Babu                      Babu Antony                      6               8          
1631   Petter Baiestorf                      Cesar Coffin Souza               6               8          
1632   Guillaume Canet                       Gilles Lellouche                 6               8          
1633   Jay Chandrasekhar                     Jay Chandrasekhar                6               8          
1634   Cheran                                Cheran                           6               8          
1635   Taika Waititi                         Taika Waititi                    6               8          
1636   Bob Cook                              Bob Cook                         6               8          
1637   Jean Devaivre                         Jean Tissier                     6               8          
1638   Radivoje 'Lola' Djukic                Djokica Milakovic                6               8          
1639   Luis Estrada                          Damián Alcázar                   6               8          
1640   Reginaldo Faria                       Reginaldo Faria                  6               8          
1641   Ritwik Ghatak                         Satindra Bhattacharya            6               8          
1642   Holger-Madsen                         Frederik Jacobsen                6               8          
1643   Boris Ivchenko                        Anatoli Barchuk                  6               8          
1644   William Markus                        Pentti Siimes                    6               8          
1645   Claes Olsson                          Nicke Lignell                    6               8          
1646   M.V. Raman                            Kishore Kumar                    6               8          
1647   Chris Seaver                          Josh Suire                       6               8          
1648   Bobby A. Suarez                       Franco Guerrero                  6               8          
1649   Joel D. Wynkoop                       Ken Anthony II                   6               8          
1650   Tommy Brunswick                       John Anton                       6               8          
1651   Sachin Mukherjee                      Uttam Kumar                      6               8          
1652   Steven Vasquez                        Addison Graham                   6               8          
1653   Pat Higgins                           Cy Henty                         6               8          
1654   Perarasu                              M.S. Bhaskar                     6               8          
1655   Sadhu Kokila                          Sadhu Kokila                     6               8          
1656   Mehmet Ada Öztekin                    Sarp Akkaya                      6               8          
1657   G. Nageswara Reddy                    Vennela Kishore                  6               8          
1658   Masoud Dehnamaki                      Akbar Abdi                       6               8          
1659   Baljit Singh Deo                      Gippy Grewal                     6               8          
1660   Helmut Brandl                         Günther Brandl                   6               8          
1661   P. Sheshadri                          H.G. Dattatreya                  6               8          
1662   Rajesh Bhuyan                         Arun Hazarika                    6               8          
1663   Jay Chandrasekhar                     Kevin Heffernan                  6               8          
1664   Albert Dupontel                       Nicolas Marié                    6               8          
1665   Michael Henry                         Tom Bridger                      6               8          
1666   Emilio Estevez                        Emilio Estevez                   6               7          
1667   Manoj Kumar                           Manoj Kumar                      6               7          
1668   Alexander Atanesyan                   Andrey Panin                     6               7          
1669   Angus Benfield                        Angus Benfield                   6               7          
1670   Irvin Berwick                         John Harmon                      6               7          
1671   Sergio Cabrera                        Humberto Dorado                  6               7          
1672   Maurice Cammage                       Fernandel                        6               7          
1673   Raúl Fernández                        Rolando Fernández                6               7          
1674   Takashi Harada                        Tomisaburô Wakayama              6               7          
1675   Manuel Iborra                         Antonio Resines                  6               7          
1676   Carlos Imperial                       Carlos Imperial                  6               7          
1677   Dimitris Kollatos                     Dimitris Kollatos                6               7          
1678   Milivoje 'Mica' Milosevic             Nikola Simic                     6               7          
1679   Palito Ortega                         Palito Ortega                    6               7          
1680   Perdigão Queiroga                     Eugénio Salvador                 6               7          
1681   Ladislav Smoljak                      Zdenek Sverák                    6               7          
1682   Mike Tristano                         Neil Delama                      6               7          
1683   Jean Yanne                            Jean Yanne                       6               7          
1684   Cheong-gi Kim                         Hyung-rae Shim                   6               7          
1685   Biresh Chatterjee                     Tapas Pal                        6               7          
1686   Rasmus Heide                          Mick Øgendahl                    6               7          
1687   Lucia Seles                           Martín Aletta                    6               7          
1688   Frank V. Ross                         Anthony J. Baker                 6               7          
1689   Danny A. Abeckaser                    Robert Davi                      6               7          
1690   Saïd Naciri                           Saïd Naciri                      6               7          
1691   Nick Peterson                         Old-Nick                         6               7          
1692   Gabriel Carrer                        Ry Barrett                       6               7          
