rank  director                      actor_director_h_index  total_films
176   Joe Ma                        6                       31         
177   K. Bapaiah                    6                       29         
178   Masud Kimiai                  6                       29         
179   Hsueh-Li Pao                  6                       27         
180   Shigehiro Ozawa               6                       27         
181   Herbert Achternbusch          6                       26         
182   Lau Lauritzen                 6                       26         
183   Chia-Liang Liu                6                       25         
184   Teddy Page                    6                       25         
185   Mircea Dragan                 6                       24         
186   Mamat Khalid                  6                       24         
187   J. Gordon Edwards             6                       23         
188   Robert Guédiguian             6                       23         
189   Smeep Kang                    6                       21         
190   Mariano Alvarez               6                       20         
191   S.V. Krishna Reddy            6                       19         
192   Ed Herzog                     6                       12         
193   Richard Thorpe                5                       111        
194   Alfred E. Green               5                       81         
195   William Nigh                  5                       77         
196   Norman Taurog                 5                       74         
197   Takashi Miike                 5                       68         
198   Emilio Gómez Muriel           5                       67         
199   Julián Soler                  5                       67         
200   Edward L. Cahn                5                       65         
201   Lewis D. Collins              5                       65         
202   George Archainbaud            5                       64         
203   Nayato Fio Nuala              5                       64         
204   Henry Hathaway                5                       63         
205   William Dieterle              5                       62         
206   Umberto Lenzi                 5                       62         
207   David Butler                  5                       61         
208   W.S. Van Dyke                 5                       61         
209   Jean Yarbrough                5                       60         
210   Ignacio F. Iquino             5                       59         
211   León Klimovsky                5                       58         
212   Claude Chabrol                5                       57         
213   Ford Beebe                    5                       57         
214   Sergio Corbucci               5                       57         
215   Julien Duvivier               5                       56         
216   Harald Reinl                  5                       56         
217   Lambert Hillyer               5                       55         
218   Miguel Morayta                5                       55         
219   R.G. Springsteen              5                       55         
220   Howard Bretherton             5                       53         
221   Raúl Ruiz                     5                       53         
222   Frank R. Strayer              5                       53         
223   Luis César Amadori            5                       52         
224   Claude Lelouch                5                       51         
225   Antonio Margheriti            5                       51         
226   Dino Risi                     5                       51         
227   Kôji Wakamatsu                5                       51         
228   Roger Corman                  5                       50         
229   Dimis Dadiras                 5                       50         
230   Ryûichi Hiroki                5                       48         
231   Werner Jacobs                 5                       48         
232   Temel Gürsu                   5                       47         
233   Joseph W. Sarno               5                       47         
234   Gilles Grangier               5                       46         
235   Karel Lamac                   5                       46         
236   Mariano Laurenti              5                       46         
237   Camillo Mastrocinque          5                       46         
238   Roberto Gavaldón              5                       45         
239   Alberto Mariscal              5                       45         
