rank  director                      actor_director_h_index  total_films
648   Busby Berkeley                4                       26         
649   Al Adamson                    4                       26         
650   Benito Alazraki               4                       26         
651   Basu Chatterjee               4                       26         
652   William Clemens               4                       26         
653   Chuck Vincent                 4                       26         
654   Andy Milligan                 4                       26         
655   Yasuharu Hasebe               4                       26         
656   Iosif Kheifits                4                       26         
657   Dante Lam                     4                       26         
658   José Antonio de la Loma       4                       26         
659   Junji Sakamoto                4                       26         
660   Shan-Hsi Ting                 4                       26         
661   Rudolf Thome                  4                       26         
662   Krzysztof Zanussi             4                       26         
663   Gajendra Vitthal Ahire        4                       26         
664   Srijit Mukherji               4                       26         
665   Arizal                        4                       25         
666   John Baxter                   4                       25         
667   Toshiya Fujita                4                       25         
668   Kazuo Ikehiro                 4                       25         
669   Alan James                    4                       25         
670   Yûzô Kawashima                4                       25         
671   Dariush Mehrjui               4                       25         
672   Eldar Ryazanov                4                       25         
673   Atef Salem                    4                       25         
674   Carlos Schlieper              4                       25         
675   Mario Soldati                 4                       25         
676   Sigurd Wallén                 4                       25         
677   Wilson Yip                    4                       25         
678   Claude Zidi                   4                       25         
679   Kim Ki-duk                    4                       25         
680   Roman Perez Jr.               4                       25         
681   Alfonso Balcázar              4                       24         
682   Gustaf Edgren                 4                       24         
683   Fazil                         4                       24         
684   Giacomo Gentilomo             4                       24         
685   Zacarías Gómez Urquiza        4                       24         
686   Gregory Hatanaka              4                       24         
687   Václav Krska                  4                       24         
688   Max Pécas                     4                       24         
689   Tapan Sinha                   4                       24         
690   Travis Mills                  4                       24         
691   Russ Meyer                    4                       23         
692   Robert Rodriguez              4                       23         
693   Claude Berri                  4                       23         
694   Benny Chan                    4                       23         
695   Boaz Davidson                 4                       23         
696   Carlos Galettini              4                       23         
697   Rituparno Ghosh               4                       23         
698   Shan Hua                      4                       23         
699   Lal Jose                      4                       23         
700   Koreyoshi Kurahara            4                       23         
701   Josef Mach                    4                       23         
702   Harmesh Malhotra              4                       23         
703   Yoshitarô Nomura              4                       23         
704   Juan Orol                     4                       23         
705   Dan Pita                      4                       23         
706   Feng Yueh                     4                       23         
707   John Lyde                     4                       23         
708   Steve Lawson                  4                       23         
709   James Cullen Bressack         4                       23         
710   Kenneth Branagh               4                       22         
711   Yash Chopra                   4                       22         
712   Luis Alcoriza                 4                       22         
713   Arsevir Alyanak               4                       22         
714   Raoul André                   4                       22         
715   Sherif Arafa                  4                       22         
716   Vladimír Cech                 4                       22         
717   Alfred Cheung                 4                       22         
718   Giorgio Ferroni               4                       22         
719   James Franco                  4                       22         
720   Eloy de la Iglesia            4                       22         
721   Henry Jaglom                  4                       22         
722   Fauzi Mansur                  4                       22         
723   Robbie Moffat                 4                       22         
724   Nobuo Nakagawa                4                       22         
725   Willy Rozier                  4                       22         
726   Alan Rudolph                  4                       22         
727   George Schnéevoigt            4                       22         
728   Shantaram Rajaram Vankudre    4                       22         
729   Singeetam Srinivasa Rao       4                       22         
730   Noboru Tanaka                 4                       22         
731   Václav Vorlícek               4                       22         
732   Richard Griffin               4                       22         
733   Brett Kelly                   4                       22         
734   Fajar Nugros                  4                       22         
735   Yves Robert                   4                       21         
736   Brian Brough                  4                       21         
737   Zbynek Brynych                4                       21         
738   Anjan Dutt                    4                       21         
739   Kamal El Sheikh               4                       21         
740   Lee Frost                     4                       21         
741   José Luis García Sánchez      4                       21         
742   Anders Henrikson              4                       21         
743   Jesse V. Johnson              4                       21         
744   Dusan Klein                   4                       21         
745   Masaki Kobayashi              4                       21         
746   Giuseppe Moccia               4                       21         
747   Philippe Mora                 4                       21         
748   Sandip Ray                    4                       21         
749   Jirí Sequens                  4                       21         
750   Taylor Wong                   4                       21         
751   Sönke Wortmann                4                       21         
752   Kazuhiko Yamaguchi            4                       21         
753   Raj Chakraborty               4                       21         
754   Takeshi Kitano                4                       20         
755   Subhash Ghai                  4                       20         
756   Raúl Araiza                   4                       20         
757   Detlev Buck                   4                       20         
758   Franco Castellano             4                       20         
759   Kang Cheng                    4                       20         
760   Wellson Chin                  4                       20         
761   Miguel Contreras Torres       4                       20         
762   Claire Denis                  4                       20         
763   Manmohan Desai                4                       20         
764   Ashraf Fahmy                  4                       20         
765   Peer Guldbrandsen             4                       20         
766   Shôhei Imamura                4                       20         
767   Donald G. Jackson             4                       20         
768   Aki Kaurismäki                4                       20         
769   Ricky Lau                     4                       20         
770   Guy Lefranc                   4                       20         
771   Jamie Luk                     4                       20         
772   Zivorad 'Zika' Mitrovic       4                       20         
773   Tadashi Sawashima             4                       20         
774   Senkichi Taniguchi            4                       20         
775   Pascal Thomas                 4                       20         
776   Samuel Khachikian             4                       20         
777   Syamak Yasami                 4                       20         
778   Craig McMahon                 4                       20         
779   Anil                          4                       20         
780   Patryk Vega                   4                       20         
781   Robert L. Parker III          4                       20         
782   Antonio del Amo               4                       19         
783   Dimitris Athanasiadis         4                       19         
784   Nikos Avrameas                4                       19         
785   Harry Joe Brown               4                       19         
786   Venyamin Dorman               4                       19         
787   Ben Feleo                     4                       19         
788   José Luis Garci               4                       19         
789   Sahin Gök                     4                       19         
790   Olle Hellbom                  4                       19         
791   Kang Woo-suk                  4                       19         
792   Raj Khosla                    4                       19         
793   Nadezhda Kosheverova          4                       19         
794   Alan Mak                      4                       19         
795   Anssi Mänttäri                4                       19         
796   Czeslaw Petelski              4                       19         
797   L.V. Prasad                   4                       19         
798   Algimantas Puipa              4                       19         
799   Joaquín Luis Romero Marchent  4                       19         
800   Raj N. Sippy                  4                       19         
801   Adurthi Subba Rao             4                       19         
802   Krishna Vamsi                 4                       19         
803   Wael Ihsan                    4                       19         
804   Suseenthiran                  4                       19         
805   Ryan Callaway                 4                       19         
806   Raja Chanda                   4                       19         
807   Jason Campbell                4                       19         
808   Alexandre Arcady              4                       18         
809   Zeki Alasya                   4                       18         
810   Aydin Arakon                  4                       18         
811   Jacek Bromski                 4                       18         
812   Abbas Alibhai Burmawalla      4                       18         
813   Mastan Alibhai Burmawalla     4                       18         
814   Nando Cicero                  4                       18         
815   Osvaldo Civirani              4                       18         
816   Derek Tung-Sing Yee           4                       18         
817   Xiaogang Feng                 4                       18         
818   Pavlos Filippou               4                       18         
819   Luis García Berlanga          4                       18         
820   Gulzar                        4                       18         
821   Yilmaz Güney                  4                       18         
822   J. Christian Ingvordsen       4                       18         
823   Jayaraj                       4                       18         
824   Pierre Jolivet                4                       18         
825   Lik-Chi Lee                   4                       18         
826   Jirí Menzel                   4                       18         
827   Katsuyuki Motohiro            4                       18         
828   Aleksi Mäkelä                 4                       18         
829   Rob Nilsson                   4                       18         
830   Ivo Novák                     4                       18         
831   Joaquín Pardavé               4                       18         
832   György Révész                 4                       18         
833   Siddique                      4                       18         
834   Zdravko Sotra                 4                       18         
835   István Szabó                  4                       18         
836   Ka-Fai Wai                    4                       18         
837   Chatrichalerm Yukol           4                       18         
838   Cesar S.B. Abella             4                       18         
839   Mohamed Abdelaziz             4                       18         
840   Yûichi Fukuda                 4                       18         
841   Andy Bausch                   4                       17         
842   Amo Bek-Nazaryan              4                       17         
843   Wai-Man Cheng                 4                       17         
844   Paul Cox                      4                       17         
845   Anatoly Eyramdzhan            4                       17         
846   Pedro Galindo III             4                       17         
847   Gakuryû Ishii                 4                       17         
848   Takashi Ishii                 4                       17         
849   Andreas Katsimitsoulias       4                       17         
850   Dada Kondke                   4                       17         
851   Juliusz Machulski             4                       17         
852   Manole Marcus                 4                       17         
853   Balachandra Menon             4                       17         
854   Hiroyuki Nasu                 4                       17         
855   See-Yuen Ng                   4                       17         
856   Zdenek Podskalský             4                       17         
857   Karen Shakhnazarov            4                       17         
858   Kostas Strantzalis            4                       17         
859   Kimiyoshi Yasuda              4                       17         
860   D. Rajendra Babu              4                       17         
861   Henrique Couto                4                       17         
862   Mehmet Bozkus                 4                       17         
863   Sreenu Vaitla                 4                       17         
864   Timothy Woodward Jr.          4                       17         
865   Paul Tanter                   4                       17         
866   Christopher Nolen             4                       17         
867   Chip Rossetti                 4                       17         
868   Sam Raimi                     4                       16         
869   K.C. Bokadia                  4                       16         
870   Robert N. Bradbury            4                       16         
871   Harald Braun                  4                       16         
872   Pramod Chakravorty            4                       16         
873   Ken G. Hall                   4                       16         
874   Leonid Gaidai                 4                       16         
875   Finn Henriksen                4                       16         
876   Indra Kumar                   4                       16         
877   László Kalmár                 4                       16         
878   S.R. Puttana Kanagal          4                       16         
879   Adolfo Martínez Solares       4                       16         
880   Dmitriy Meskhiev              4                       16         
881   Colin Nutley                  4                       16         
882   Arne Lindtner Næss            4                       16         
883   P. Padmarajan                 4                       16         
884   Gabriel Retes                 4                       16         
885   Aleksandr Rou                 4                       16         
886   Nikoloz Sanishvili            4                       16         
887   Rajkumar Santoshi             4                       16         
888   Afdlin Shauki                 4                       16         
889   Wilson Tong                   4                       16         
890   Nikos Tsiforos                4                       16         
891   P.G. Viswambharan             4                       16         
892   Gheorghe Vitanidis            4                       16         
893   Svend Wam                     4                       16         
894   Charles Marquis Warren        4                       16         
895   Ranjith                       4                       16         
896   Shafi                         4                       16         
897   V.V. Vinayak                  4                       16         
898   Emir Skalonja                 4                       16         
899   Ashok Pati                    4                       16         
900   Manny Velazquez               4                       16         
901   S.K. Bhagavan                 4                       16         
902   Adilkhan Yerzhanov            4                       16         
903   Gösta Bernhard                4                       15         
904   José Carlos Burle             4                       15         
905   Francisco Cavalcanti          4                       15         
906   Dennis Dugan                  4                       15         
907   Chad Ferrin                   4                       15         
908   Louis Feuillade               4                       15         
909   Béla Gaál                     4                       15         
910   Teng-Hung Hsu                 4                       15         
911   Liu Chia-Yung                 4                       15         
912   Goran Markovic                4                       15         
913   Togo Mizrahi                  4                       15         
914   Francisc Munteanu             4                       15         
915   Enrico Oldoini                4                       15         
916   Fernando Poe Jr.              4                       15         
917   T. Prakash Rao                4                       15         
918   Kamalakara Kameshwara Rao     4                       15         
919   Sachin Pilgaonkar             4                       15         
920   Geo Saizescu                  4                       15         
921   K.S. Sethumadhavan            4                       15         
922   Evgeniy Sherstobitov          4                       15         
923   Hugo Sofovich                 4                       15         
924   Jaroslav Soukup               4                       15         
925   Adriano Stuart                4                       15         
926   Anker Sørensen                4                       15         
927   A.C. Trilogchander            4                       15         
928   Takashi Yamazaki              4                       15         
929   Hari                          4                       15         
930   Arindam Sil                   4                       15         
931   Justin Lee                    4                       15         
932   Charlie Steeds                4                       15         
933   King Hu                       4                       14         
934   Hynek Bocan                   4                       14         
935   Kenya Cagle                   4                       14         
936   Guddu Dhanoa                  4                       14         
937   Yusof Haslam                  4                       14         
938   Feng Huang                    4                       14         
939   Kalpataru                     4                       14         
940   Kemal Kan                     4                       14         
941   Vladimir Khotinenko           4                       14         
942   Shûe Matsubayashi             4                       14         
943   Michael J. Murphy             4                       14         
944   Govind Nihalani               4                       14         
945   Risto Orko                    4                       14         
946   Marcel Pagnol                 4                       14         
947   Jean-Marie Poiré              4                       14         
948   Augusto Salvador              4                       14         
949   Yasujirô Shimazu              4                       14         
950   Lu-Po Tu                      4                       14         
951   Petar B. Vasilev              4                       14         
952   Kedar Shinde                  4                       14         
953   Dmitriy Dyachenko             4                       14         
954   Keishi Otomo                  4                       14         
955   Ranjith Sankar                4                       14         
956   Ksshitij Chaudhary            4                       14         
957   Fernando Ayllón               4                       14         
958   James Ian Mair                4                       14         
959   Rakesh Roshan                 4                       13         
960   Ragnar Arvedson               4                       13         
961   William Asher                 4                       13         
962   Poul Bang                     4                       13         
963   Aloizs Brencs                 4                       13         
964   Viktor Bánky                  4                       13         
965   Tony Vieira                   4                       13         
966   Muhsin Ertugrul               4                       13         
967   Grigoriy Kozintsev            4                       13         
968   Pablo Parés                   4                       13         
969   Lester James Peries           4                       13         
970   Pier Francesco Pingitore      4                       13         
971   Ze'ev Revach                  4                       13         
972   Bhandit Rittakol              4                       13         
973   Vincenzo Salemme              4                       13         
974   Franz Schnyder                4                       13         
975   Harald Sicheritz              4                       13         
976   Viji Thampi                   4                       13         
977   Antun Vrdoljak                4                       13         
978   Vytautas Zalakevicius         4                       13         
979   Dinesh Chaudhary              4                       13         
980   Shi-hyeon Kim                 4                       13         
981   Len Kabasinski                4                       13         
982   S.S. Rajamouli                4                       13         
983   Samuthirakani                 4                       13         
984   B. Dorai Raj                  4                       13         
985   Hal Hartley                   4                       12         
986   Preston Sturges               4                       12         
987   Bade Hj. Azmi                 4                       12         
988   Olivier Baroux                4                       12         
989   Abby Berlin                   4                       12         
990   Sergey Bondarchuk             4                       12         
991   Émile Couzinet                4                       12         
992   Ali Hatami                    4                       12         
993   Bart van Leemputten           4                       12         
994   Leopold Lindtberg             4                       12         
995   John P. McCarthy              4                       12         
996   Gus Meins                     4                       12         
997   A.P. Nagarajan                4                       12         
998   Keiichi Ozawa                 4                       12         
999   Wladyslaw Pasikowski          4                       12         
1000  Charles B. Pierce             4                       12         
1001  László Ranódy                 4                       12         
1002  Pablo Santiago                4                       12         
1003  Imam Tantowi                  4                       12         
1004  Jimmy Wang Yu                 4                       12         
1005  Yograj Bhat                   4                       12         
1006  Brett William Mauser          4                       12         
1007  Venkat Prabhu                 4                       12         
1008  Pablo Larraín                 4                       12         
1009  Trivikram Srinivas            4                       12         
1010  James Christopher             4                       12         
1011  Calvin Morie McCarthy         4                       12         
1012  Shahidul Islam Khokon         4                       12         
1013  Massimiliano Bruno            4                       11         
1014  Dinu Cocea                    4                       11         
1015  Rodolfo de Anda               4                       11         
1016  Ashok Gaekwad                 4                       11         
1017  Mohammed Hussain              4                       11         
1018  Thampi Kannanthanam           4                       11         
1019  Bruno Podalydès               4                       11         
1020  Vedantam Raghavaiah           4                       11         
1021  Massimo Venier                4                       11         
1022  Wen Yi                        4                       11         
1023  P. Madhavan                   4                       11         
1024  Dilip Mukherjee               4                       11         
1025  Hara Patnaik                  4                       11         
1026  Nabwana I.G.G.                4                       11         
1027  Günther Brandl                4                       11         
1028  Lucas Belvaux                 4                       10         
1029  Hugh Bennett                  4                       10         
1030  K.G. George                   4                       10         
1031  John Hilbard                  4                       10         
1032  Rajkumar Kohli                4                       10         
1033  Tomio Kuriyama                4                       10         
1034  Dennis Law                    4                       10         
1035  Dragoslav Lazic               4                       10         
1036  S. Roy Luby                   4                       10         
1037  Visa Mäkinen                  4                       10         
1038  Lasse Spang Olsen             4                       10         
1039  Asep Kusdinar                 4                       10         
1040  Mehmet Tanrisever             4                       10         
1041  M.S. Rajashekar               4                       10         
1042  B. Luciano Barsuglia          4                       10         
1043  Will Collazo Jr.              4                       10         
1044  Bruce Wemple                  4                       10         
1045  Philippe de Chauveron         4                       9          
1046  Jan Vanderheyden              4                       9          
1047  Nate Watt                     4                       9          
1048  Cem Yilmaz                    4                       9          
1049  Martijn van Nellestijn        4                       9          
1050  Anthony Spadaccini            4                       9          
1051  Venu Nagavalli                4                       9          
1052  Sudhakar Basanta              4                       9          
1053  Dustin Mills                  4                       9          
1054  Pauli Janhunen Calderón       4                       9          
1055  Jaron Lockridge               4                       9          
1056  Terry Jones                   4                       8          
1057  Giuseppe Andrews              4                       8          
1058  Yehuda Barkan                 4                       8          
1059  Jay Chandrasekhar             4                       8          
1060  Radivoje 'Lola' Djukic        4                       8          
1061  Salil Dutta                   4                       8          
1062  Ritwik Ghatak                 4                       8          
1063  P. Pullaiah                   4                       8          
1064  Chris Seaver                  4                       8          
1065  A. Vincent                    4                       8          
1066  Thomas Edward Seymour         4                       8          
1067  Sachin Mukherjee              4                       8          
1068  Wojciech Smarzowski           4                       8          
1069  Armin Schnürle                4                       8          
1070  Amberdeep Singh               4                       8          
1071  Giulio De Santi               4                       8          
1072  Adam Starks                   4                       8          
1073  Javier Cruz Jr.               4                       7          
1074  Robert Lamoureux              4                       7          
1075  Milivoje 'Mica' Milosevic     4                       7          
1076  Shao-Peng Chen                4                       7          
1077  Charles Roxburgh              4                       7          
1078  Luis Ismael                   4                       7          
1079  Ram Babu Gurung               4                       7          
1080  Seok-hoon Nam                 4                       6          
1081  Yatrik                        4                       6          
1082  Mohammad Mohsin               4                       6          
1083  Badiul Alam Khokon            4                       6          
1084  Dmitry Chmelyov               4                       6          
1085  Andrew Jacob Brown            4                       6          
1086  Bayu Skak                     4                       6          
1087  Marat Rafikov                 4                       5          
1088  Dave Campfield                4                       5          
1089  Aleksandr Basov               4                       5          
1090  Peter Butler                  4                       4          
1091  Michael Taylor Pritt          4                       4          
1092  David DeCoteau                3                       61         
1093  Robert Z. Leonard             3                       56         
1094  Robert Siodmak                3                       56         
1095  William Castle                3                       55         
1096  Kurt Neumann                  3                       54         
1097  Sam Wood                      3                       52         
1098  Woody Allen                   3                       51         
1099  Tulio Demicheli               3                       49         
1100  George Cukor                  3                       48         
1101  Edward Dmytryk                3                       48         
1102  Phil Karlson                  3                       48         
1103  Archie Mayo                   3                       48         
1104  King Vidor                    3                       48         
1105  Frank Lloyd                   3                       47         
1106  Richard Fleischer             3                       46         
1107  Rizal Mantovani               3                       46         
1108  Maurice Tourneur              3                       46         
1109  John Cromwell                 3                       45         
1110  Alfred L. Werker              3                       45         
1111  Jean-Luc Godard               3                       44         
1112  Henri Decoin                  3                       44         
1113  Tay Garnett                   3                       44         
1114  Ralph Murphy                  3                       44         
1115  Sidney J. Furie               3                       43         
1116  H. Bruce Humberstone          3                       43         
1117  Marc Allégret                 3                       42         
1118  Luigi Comencini               3                       42         
1119  Hans Deppe                    3                       42         
1120  Carlos Saura                  3                       42         
1121  John Sturges                  3                       42         
1122  Richard Wallace               3                       42         
1123  Werner Herzog                 3                       41         
1124  Ken Annakin                   3                       41         
1125  Clint Eastwood                3                       40         
1126  Mauro Bolognini               3                       40         
1127  Norman Foster                 3                       38         
1128  Alexander Hall                3                       38         
1129  Carlo Lizzani                 3                       38         
1130  Douglas Sirk                  3                       38         
1131  Henry Barakat                 3                       37         
1132  Lewis Milestone               3                       37         
1133  Viktor Tourjansky             3                       37         
1134  William Wyler                 3                       37         
1135  Yukihiko Tsutsumi             3                       37         
1136  Anthony Asquith               3                       36         
1137  Curtis Bernhardt              3                       36         
1138  Walter Forde                  3                       36         
1139  Domenico Paolella             3                       36         
1140  Darrell Roodt                 3                       36         
1141  Victor Saville                3                       36         
1142  Terence Young                 3                       36         
1143  Steven Spielberg              3                       35         
1144  Wim Wenders                   3                       35         
1145  John H. Auer                  3                       35         
1146  John G. Blystone              3                       35         
1147  Edward Ludwig                 3                       35         
1148  Charles Reisner               3                       35         
1149  Alfred Santell                3                       35         
1150  Montgomery Tully              3                       35         
1151  Ron Howard                    3                       34         
1152  Claude Autant-Lara            3                       34         
1153  Mario Bonnard                 3                       34         
1154  Alan Crosland                 3                       34         
1155  George Fitzmaurice            3                       34         
1156  Sidney Franklin               3                       34         
1157  Edmund Goulding               3                       34         
1158  Anatole Litvak                3                       34         
1159  Barry Mahon                   3                       34         
1160  Vincente Minnelli             3                       34         
1161  Édouard Molinaro              3                       34         
1162  Don Siegel                    3                       34         
1163  Roy Ward Baker                3                       33         
1164  Michael Anderson              3                       33         
1165  André De Toth                 3                       33         
1166  Louis J. Gasnier              3                       33         
1167  Rowland V. Lee                3                       33         
1168  Bruno Mattei                  3                       33         
1169  Jean Negulesco                3                       33         
1170  Mark Robson                   3                       33         
1171  Benjamin Stoloff              3                       33         
1172  Michael Winner                3                       33         
1173  Vittorio De Sica              3                       32         
1174  Harry Beaumont                3                       32         
1175  Roberto Bianchi Montero       3                       32         
1176  Budd Boetticher               3                       32         
1177  Ernst Hofbauer                3                       32         
1178  Im Kwon-taek                  3                       32         
1179  Joseph Pevney                 3                       32         
1180  Wolfgang Staudte              3                       32         
1181  Paul L. Stein                 3                       32         
1182  James Tinling                 3                       32         
1183  Luigi Zampa                   3                       32         
1184  Bruce Beresford               3                       31         
1185  Victor Schertzinger           3                       31         
1186  Ferdinando Baldi              3                       31         
1187  Edward Buzzell                3                       31         
1188  Erich Engel                   3                       31         
1189  Edward H. Griffith            3                       31         
1190  Joseph H. Lewis               3                       31         
1191  Ken Loach                     3                       31         
1192  Joseph Losey                  3                       31         
1193  Hideo Nakata                  3                       31         
1194  Masahiro Shinoda              3                       31         
1195  Charles Vidor                 3                       31         
1196  Michael Winterbottom          3                       31         
1197  Tyler Perry                   3                       31         
1198  Brian De Palma                3                       30         
1199  Júlio Bressane                3                       30         
1200  Otto Brower                   3                       30         
1201  Elmer Clifton                 3                       30         
1202  Lance Comfort                 3                       30         
1203  Delmer Daves                  3                       30         
1204  Marco Ferreri                 3                       30         
1205  Nick Grinde                   3                       30         
1206  Ulli Lommel                   3                       30         
1207  Richard Quine                 3                       30         
1208  Gregory Ratoff                3                       30         
1209  Jean Renoir                   3                       30         
1210  Wesley Ruggles                3                       30         
1211  Ettore Scola                  3                       30         
1212  Harold Young                  3                       30         
1213  Mac Alejandre                 3                       30         
1214  Guntur Soeharjanto            3                       30         
1215  John Frankenheimer            3                       29         
1216  Stelvio Massi                 3                       29         
1217  Guido Brignone                3                       29         
1218  Mario Camus                   3                       29         
1219  John Paddy Carstairs          3                       29         
1220  André Cayatte                 3                       29         
1221  Don Chaffey                   3                       29         
1222  Sacha Guitry                  3                       29         
1223  Karl Hartl                    3                       29         
1224  Ann Hui                       3                       29         
1225  Rudolf Jugert                 3                       29         
1226  Ray McCarey                   3                       29         
1227  Marshall Neilan               3                       29         
1228  Elliott Nugent                3                       29         
1229  Ventura Pons                  3                       29         
1230  Roy Rowland                   3                       29         
1231  Julio Saraceni                3                       29         
1232  Hans Steinhoff                3                       29         
1233  Rudolph Maté                  3                       28         
1234  S.A. Chandrashekhar           3                       28         
1235  Chi Lo                        3                       28         
1236  Damiano Damiani               3                       28         
1237  Alberto De Martino            3                       28         
1238  Jean Dréville                 3                       28         
1239  Fred C. Newmeyer              3                       28         
1240  Carol Reed                    3                       28         
1241  Wolfgang Schleif              3                       28         
1242  Vernon Sewell                 3                       28         
1243  George Stevens                3                       28         
1244  Bertrand Tavernier            3                       28         
1245  Duccio Tessari                3                       28         
1246  Carlo Verdone                 3                       28         
1247  Francis Ford Coppola          3                       27         
1248  Jack Arnold                   3                       27         
1249  Tinto Brass                   3                       27         
1250  Barry Levinson                3                       27         
1251  Vicente Aranda                3                       27         
1252  Oxide Chun Pang               3                       27         
1253  Domiziano Cristopharo         3                       27         
1254  Maryo J. de los Reyes         3                       27         
1255  Carl Froelich                 3                       27         
1256  William C. McGann             3                       27         
1257  Charles Saunders              3                       27         
1258  Tetsuo Shinohara              3                       27         
1259  George Sidney                 3                       27         
1260  John M. Stahl                 3                       27         
1261  Andrew L. Stone               3                       27         
1262  Tim Whelan                    3                       27         
1263  Isao Yukisada                 3                       27         
1264  Yimou Zhang                   3                       27         
1265  Philip Gardiner               3                       27         
1266  Fajar Bustomi                 3                       27         
1267  Billy Wilder                  3                       26         
1268  Karl Anton                    3                       26         
1269  Freddie Francis               3                       26         
1270  Péter Bacsó                   3                       26         
1271  Roy Boulting                  3                       26         
